kind,cardId,presetId,locale,name,description,effect,note,scenario,translationStatus
card,00019802_00000000B3D0DCEA,,ja,Build Up,敵NPCを十分にKOまたはアシストするたびに、すべての防御力が上昇します。,敵NPCを十分にKOまたはアシストするたびに、すべての防御力が上昇します。,発動条件：敵NPCのKOまたはアシスト5回ごと。1スタックにつき全防御力22アップを付与し、最大10スタックまで累積します。,,user-provided-source
card,00019802_00000000B3D0DCEA,,zh-CN,Build Up,每当击倒足够的敌方NPC或获得助攻时，提升所有防御力。,每当击倒足够的敌方NPC或获得助攻时，提升所有防御力。,激活条件：每击倒5名敌方NPC或获得助攻。每层增加22点全防御力，最多可叠加10层。,,user-provided-source
card,00019802_00000000B3D0DCEA,,ko,Build Up,적 NPC를 충분히 KO시키거나 어시스트할 때마다 모든 방어력이 증가합니다.,적 NPC를 충분히 KO시키거나 어시스트할 때마다 모든 방어력이 증가합니다.,"발동 조건: 적 NPC KO 또는 어시스트 5회마다. 스택당 모든 방어력 22 증가를 부여하며, 최대 10스택까지 누적됩니다.",,user-provided-source
card,00019802_00000000B3D0DCEA,,es,Build Up,Aumenta todas las defensas cada vez que logras suficientes KO o asistencias sobre NPC enemigos.,Aumenta todas las defensas cada vez que logras suficientes KO o asistencias sobre NPC enemigos.,"Activación: Cada 5 KO o asistencias de NPC enemigos. Otorga 22 de Aumento de Defensa Total por acumulación, hasta 10 acumulaciones.",,user-provided-source
card,00019802_00000000B3D0DCEA,,vi,Build Up,"Mỗi khi hạ gục đủ số NPC địch hoặc nhận hỗ trợ, tăng toàn bộ phòng ngự.","Mỗi khi hạ gục đủ số NPC địch hoặc nhận hỗ trợ, tăng toàn bộ phòng ngự.","Điều kiện kích hoạt: Mỗi 5 lần hạ gục NPC địch hoặc nhận hỗ trợ. Mỗi tầng tăng 22 điểm Toàn Phòng Ngự, tối đa cộng dồn 10 tầng.",,translated-from-zh-CN
card,00019809_00000000C4D7EC7C,,ja,Too Easy!,ダメージを受けてHPが50%以下になると、2秒間追加のHPを付与します。,ダメージを受けてHPが50%以下になると、2秒間追加のHPを付与します。,発動条件：現在のHPが50%以下になるダメージを受ける。30秒に1回発動可能。,,user-provided-source
card,00019809_00000000C4D7EC7C,,zh-CN,Too Easy!,当受到伤害导致HP降至50%或以下时，获得额外HP，持续2秒。,当受到伤害导致HP降至50%或以下时，获得额外HP，持续2秒。,激活条件：受到使当前HP降至50%或以下的伤害。每30秒可激活一次。,,user-provided-source
card,00019809_00000000C4D7EC7C,,ko,Too Easy!,데미지를 받아 HP가 50% 이하로 떨어지면 2초 동안 추가 HP를 부여합니다.,데미지를 받아 HP가 50% 이하로 떨어지면 2초 동안 추가 HP를 부여합니다.,발동 조건: 현재 HP가 50% 이하가 되는 데미지를 받습니다. 30초마다 1회 활성화 가능합니다.,,user-provided-source
card,00019809_00000000C4D7EC7C,,es,Too Easy!,Otorga HP adicional durante 2 segundos cuando el daño reduce tu HP al 50% o menos.,Otorga HP adicional durante 2 segundos cuando el daño reduce tu HP al 50% o menos.,Activación: Recibe daño que reduzca tu HP actual al 50% o menos. Se puede activar una vez cada 30 segundos.,,user-provided-source
card,00019809_00000000C4D7EC7C,,vi,Too Easy!,"Khi chịu sát thương khiến HP giảm xuống 50% hoặc thấp hơn, nhận thêm HP trong 2 giây.","Khi chịu sát thương khiến HP giảm xuống 50% hoặc thấp hơn, nhận thêm HP trong 2 giây.",Điều kiện kích hoạt: Chịu sát thương khiến HP hiện tại giảm xuống 50% hoặc thấp hơn. Có thể kích hoạt một lần mỗi 30 giây.,,translated-from-zh-CN
card,00019813_0000000002B03815,,ja,Strategic Escape,近くの敵ヒーローに背を向けている間、移動速度が上昇します。,近くの敵ヒーローに背を向けている間、移動速度が上昇します。,発動条件：近くの敵ヒーローに背を向ける。条件を満たしている間、効果は有効のままです。,,user-provided-source
card,00019813_0000000002B03815,,zh-CN,Strategic Escape,当背对附近的敌方英雄时，提升移动速度。,当背对附近的敌方英雄时，提升移动速度。,激活条件：背对附近的敌方英雄。只要满足条件，效果就会保持激活状态。,,user-provided-source
card,00019813_0000000002B03815,,ko,Strategic Escape,근처 적 영웅에게 등을 돌리고 있을 때 이동 속도가 증가합니다.,근처 적 영웅에게 등을 돌리고 있을 때 이동 속도가 증가합니다.,발동 조건: 근처 적 영웅을 등집니다. 조건이 충족되는 동안 효과가 유지됩니다.,,user-provided-source
card,00019813_0000000002B03815,,es,Strategic Escape,Aumenta la velocidad de movimiento mientras das la espalda a un héroe enemigo cercano.,Aumenta la velocidad de movimiento mientras das la espalda a un héroe enemigo cercano.,Activación: Da la espalda a un héroe enemigo cercano. El efecto permanece activo mientras se cumpla la condición.,,user-provided-source
card,00019813_0000000002B03815,,vi,Strategic Escape,Tăng tốc độ di chuyển khi quay lưng về phía hero địch ở gần.,Tăng tốc độ di chuyển khi quay lưng về phía hero địch ở gần.,Điều kiện kích hoạt: Quay lưng về phía hero địch ở gần. Hiệu ứng duy trì chừng nào điều kiện còn được đáp ứng.,,translated-from-zh-CN
card,00019820_0000000075B70883,,ja,GEKISHIN High,激震バースト（GEKISHIN Burst）を発動するために使用したスキルのクールダウンを短縮します。,激震バースト（GEKISHIN Burst）を発動するために使用したスキルのクールダウンを短縮します。,発動条件：激震バーストを正常に命中させる。,,user-provided-source
card,00019820_0000000075B70883,,zh-CN,GEKISHIN High,缩短用于激活激震爆发（GEKISHIN Burst）的技能的冷却时间。,缩短用于激活激震爆发（GEKISHIN Burst）的技能的冷却时间。,激活条件：成功命中一次激震爆发。,,user-provided-source
card,00019820_0000000075B70883,,ko,GEKISHIN High,격진 버스트(GEKISHIN Burst)를 활성화하는 데 사용된 스킬의 재사용 대기시간이 단축됩니다.,격진 버스트(GEKISHIN Burst)를 활성화하는 데 사용된 스킬의 재사용 대기시간이 단축됩니다.,발동 조건: 격진 버스트를 성공적으로 적중시킵니다.,,user-provided-source
card,00019820_0000000075B70883,,es,GEKISHIN High,Acorta el tiempo de recarga de la habilidad utilizada para activar una Ráfaga GEKISHIN.,Acorta el tiempo de recarga de la habilidad utilizada para activar una Ráfaga GEKISHIN.,Activación: Acierta con éxito una Ráfaga GEKISHIN.,,user-provided-source
card,00019820_0000000075B70883,,vi,GEKISHIN High,Rút ngắn thời gian hồi của kỹ năng được dùng để kích hoạt GEKISHIN Burst.,Rút ngắn thời gian hồi của kỹ năng được dùng để kích hoạt GEKISHIN Burst.,Điều kiện kích hoạt: Đánh trúng thành công một GEKISHIN Burst.,,translated-from-zh-CN
card,00019824_0000000095B2EC4D,,ja,Giant Slayer,敵ヒーローの最大HPに比例して、与えるダメージが増加します。,敵ヒーローの最大HPに比例して、与えるダメージが増加します。,発動条件：HPが80%以上の敵ヒーローに命中する。戦闘が終了するまで、そのターゲットに効果が適用されます。,,user-provided-source
card,00019824_0000000095B2EC4D,,zh-CN,Giant Slayer,根据敌方英雄的最大HP比例提升对其造成的伤害。,根据敌方英雄的最大HP比例提升对其造成的伤害。,激活条件：当敌方英雄HP在80%或以上时命中对方。该效果将持续应用于该目标，直到交战结束。,,user-provided-source
card,00019824_0000000095B2EC4D,,ko,Giant Slayer,적 영웅의 최대 HP에 비례하여 가하는 데미지가 증가합니다.,적 영웅의 최대 HP에 비례하여 가하는 데미지가 증가합니다.,발동 조건: HP가 80% 이상인 적 영웅을 공격 적중. 전투가 끝날 때까지 해당 대상에게 효과가 적용됩니다.,,user-provided-source
card,00019824_0000000095B2EC4D,,es,Giant Slayer,Aumenta el daño infligido a un héroe enemigo en proporción a su HP máximo.,Aumenta el daño infligido a un héroe enemigo en proporción a su HP máximo.,Activación: Golpea a un héroe enemigo mientras tenga el 80% o más de HP. El efecto se aplica a ese objetivo hasta que termina el enfrentamiento.,,user-provided-source
card,00019824_0000000095B2EC4D,,vi,Giant Slayer,Tăng sát thương gây lên hero địch theo tỷ lệ HP tối đa của mục tiêu.,Tăng sát thương gây lên hero địch theo tỷ lệ HP tối đa của mục tiêu.,Điều kiện kích hoạt: Đánh trúng hero địch khi mục tiêu còn từ 80% HP trở lên. Hiệu ứng tiếp tục áp dụng lên mục tiêu đó cho đến khi cuộc giao tranh kết thúc.,,translated-from-zh-CN
card,00019828_00000000E2B5DCDB,,ja,Prepare to Die!,弱体化した敵ヒーローに与えるダメージが増加します。彼らが2秒以上生存した場合、ダメージの増加はさらに強くなります。,弱体化した敵ヒーローに与えるダメージが増加します。彼らが2秒以上生存した場合、ダメージの増加はさらに強くなります。,発動条件：HPが50%以下の敵ヒーローに命中する。戦闘が終了すると効果は終了します。,,user-provided-source
card,00019828_00000000E2B5DCDB,,zh-CN,Prepare to Die!,提升对虚弱敌方英雄造成的伤害；如果目标存活至少2秒，伤害提升幅度将大幅增加。,提升对虚弱敌方英雄造成的伤害；如果目标存活至少2秒，伤害提升幅度将大幅增加。,激活条件：当敌方英雄HP在50%或以下时命中对方。交战结束时该效果结束。,,user-provided-source
card,00019828_00000000E2B5DCDB,,ko,Prepare to Die!,약화된 적 영웅에게 가하는 데미지가 증가합니다. 대상이 최소 2초 이상 생존하면 데미지 증가폭이 훨씬 더 커집니다.,약화된 적 영웅에게 가하는 데미지가 증가합니다. 대상이 최소 2초 이상 생존하면 데미지 증가폭이 훨씬 더 커집니다.,발동 조건: HP가 50% 이하인 적 영웅을 공격 적중. 전투가 끝나면 효과가 종료됩니다.,,user-provided-source
card,00019828_00000000E2B5DCDB,,es,Prepare to Die!,Aumenta el daño infligido a un héroe enemigo debilitado; el aumento se vuelve mucho más fuerte si sobreviven durante al menos 2 segundos.,Aumenta el daño infligido a un héroe enemigo debilitado; el aumento se vuelve mucho más fuerte si sobreviven durante al menos 2 segundos.,Activación: Golpea a un héroe enemigo mientras tenga el 50% o menos de HP. El efecto termina cuando finaliza el enfrentamiento.,,user-provided-source
card,00019828_00000000E2B5DCDB,,vi,Prepare to Die!,"Tăng sát thương gây lên hero địch đang suy yếu; nếu mục tiêu sống sót ít nhất 2 giây, mức tăng sát thương sẽ lớn hơn đáng kể.","Tăng sát thương gây lên hero địch đang suy yếu; nếu mục tiêu sống sót ít nhất 2 giây, mức tăng sát thương sẽ lớn hơn đáng kể.",Điều kiện kích hoạt: Đánh trúng hero địch khi mục tiêu còn 50% HP hoặc thấp hơn. Hiệu ứng kết thúc khi cuộc giao tranh kết thúc.,,translated-from-zh-CN
card,00019832_000000005DDEBDC6,,ja,Steel Skin,敵ヒーローから受けるすべての攻撃から一定量のダメージを軽減します。,敵ヒーローから受けるすべての攻撃から一定量のダメージを軽減します。,発動条件：敵ヒーローからの攻撃を受ける。ダメージ軽減はヒットごとに適用されます。,,user-provided-source
card,00019832_000000005DDEBDC6,,zh-CN,Steel Skin,减少受到敌方英雄每次攻击的固定伤害量。,减少受到敌方英雄每次攻击的固定伤害量。,激活条件：受到敌方英雄的攻击。减伤效果在每次受击时应用。,,user-provided-source
card,00019832_000000005DDEBDC6,,ko,Steel Skin,적 영웅에게 받는 모든 공격에서 고정된 양의 데미지를 감소시킵니다.,적 영웅에게 받는 모든 공격에서 고정된 양의 데미지를 감소시킵니다.,발동 조건: 적 영웅의 공격을 받습니다. 데미지 감소는 피격 시마다 적용됩니다.,,user-provided-source
card,00019832_000000005DDEBDC6,,es,Steel Skin,Reduce una cantidad fija de daño de cada golpe recibido de un héroe enemigo.,Reduce una cantidad fija de daño de cada golpe recibido de un héroe enemigo.,Activación: Recibe un ataque de un héroe enemigo. La reducción se aplica por golpe.,,user-provided-source
card,00019832_000000005DDEBDC6,,vi,Steel Skin,Giảm một lượng sát thương cố định từ mỗi đòn đánh của hero địch.,Giảm một lượng sát thương cố định từ mỗi đòn đánh của hero địch.,Điều kiện kích hoạt: Chịu đòn đánh từ hero địch. Hiệu ứng giảm sát thương được áp dụng cho từng lần trúng đòn.,,translated-from-zh-CN
card,00019836_000000002AD98D50,,ja,Solid Barrier,15秒間ヒーローからダメージを受けない状態が続くと、敵ヒーローからのダメージを大幅に軽減するバリアを付与します。,15秒間ヒーローからダメージを受けない状態が続くと、敵ヒーローからのダメージを大幅に軽減するバリアを付与します。,発動条件：15秒間敵ヒーローからダメージを受けない。バリアは敵ヒーローからダメージを受けてから1.5秒後に破壊されます。,,user-provided-source
card,00019836_000000002AD98D50,,zh-CN,Solid Barrier,在15秒内未受到英雄伤害后，获得一个能大幅减少来自敌方英雄伤害的屏障。,在15秒内未受到英雄伤害后，获得一个能大幅减少来自敌方英雄伤害的屏障。,激活条件：15秒内未受到来自敌方英雄的伤害。屏障在被敌方英雄伤害后的1.5秒破裂。,,user-provided-source
card,00019836_000000002AD98D50,,ko,Solid Barrier,15초 동안 적 영웅에게 데미지를 받지 않으면 적 영웅으로부터 받는 데미지를 크게 감소시키는 배리어를 부여합니다.,15초 동안 적 영웅에게 데미지를 받지 않으면 적 영웅으로부터 받는 데미지를 크게 감소시키는 배리어를 부여합니다.,발동 조건: 15초 동안 적 영웅에게 데미지를 받지 않습니다. 적 영웅에게 데미지를 받은 후 1.5초 뒤에 배리어가 파괴됩니다.,,user-provided-source
card,00019836_000000002AD98D50,,es,Solid Barrier,Otorga una barrera que reduce enormemente el daño de los héroes enemigos después de evitar daño de héroes durante 15 segundos.,Otorga una barrera que reduce enormemente el daño de los héroes enemigos después de evitar daño de héroes durante 15 segundos.,Activación: No recibas daño de héroes enemigos durante 15 segundos. La barrera se rompe 1.5 segundos después de ser dañada por un héroe enemigo.,,user-provided-source
card,00019836_000000002AD98D50,,vi,Solid Barrier,"Sau khi không chịu sát thương từ hero trong 15 giây, nhận một lá chắn giúp giảm mạnh sát thương từ hero địch.","Sau khi không chịu sát thương từ hero trong 15 giây, nhận một lá chắn giúp giảm mạnh sát thương từ hero địch.","Điều kiện kích hoạt: Không chịu sát thương từ hero địch trong 15 giây. Lá chắn vỡ sau 1,5 giây kể từ khi bị hero địch gây sát thương.",,translated-from-zh-CN
card,00019856_00000000ECBE5939,,ja,Art of Decoy,6秒間、移動速度が大幅に上昇し、バニシングステップのクールダウン回復速度が上昇します。,6秒間、移動速度が大幅に上昇し、バニシングステップのクールダウン回復速度が上昇します。,発動条件：敵ヒーローに妨害される。10秒に1回発動可能。,,user-provided-source
card,00019856_00000000ECBE5939,,zh-CN,Art of Decoy,大幅提升移动速度，并增加消失步冷却时间恢复速度，持续6秒。,大幅提升移动速度，并增加消失步冷却时间恢复速度，持续6秒。,激活条件：受到敌方英雄阻碍。每10秒可激活一次。,,user-provided-source
card,00019856_00000000ECBE5939,,ko,Art of Decoy,6초 동안 이동 속도가 크게 증가하고 배니싱 스텝의 재사용 대기시간 회복 속도가 증가합니다.,6초 동안 이동 속도가 크게 증가하고 배니싱 스텝의 재사용 대기시간 회복 속도가 증가합니다.,발동 조건: 적 영웅에게 방해를 받습니다. 10초마다 1회 활성화 가능합니다.,,user-provided-source
card,00019856_00000000ECBE5939,,es,Art of Decoy,Aumenta enormemente la velocidad de movimiento y la velocidad de recuperación del tiempo de recarga del Paso Evanescente durante 6 segundos.,Aumenta enormemente la velocidad de movimiento y la velocidad de recuperación del tiempo de recarga del Paso Evanescente durante 6 segundos.,Activación: Sé obstruido por un héroe enemigo. Se puede activar una vez cada 10 segundos.,,user-provided-source
card,00019856_00000000ECBE5939,,vi,Art of Decoy,Tăng mạnh tốc độ di chuyển và tốc độ hồi thời gian hồi chiêu của Bộ Pháp Biến Mất (Vanishing Step) trong 6 giây.,Tăng mạnh tốc độ di chuyển và tốc độ hồi thời gian hồi chiêu của Bộ Pháp Biến Mất (Vanishing Step) trong 6 giây.,Điều kiện kích hoạt: Bị hero địch cản trở. Có thể kích hoạt một lần mỗi 10 giây.,,translated-from-zh-CN
card,00019860_000000009BB969AF,,ja,Epic Hunter,4秒間、ボスに与えるダメージが増加します。,4秒間、ボスに与えるダメージが増加します。,発動条件：HPが50%以下のボスにダメージを与える。条件を満たす最後のボスがKOされると効果は終了します。,,user-provided-source
card,00019860_000000009BB969AF,,zh-CN,Epic Hunter,提升对首领造成的伤害，持续4秒。,提升对首领造成的伤害，持续4秒。,激活条件：对HP在50%或以下的首领造成伤害。当满足条件的最后一个首领被击倒时，效果结束。,,user-provided-source
card,00019860_000000009BB969AF,,ko,Epic Hunter,4초 동안 보스에게 가하는 데미지가 증가합니다.,4초 동안 보스에게 가하는 데미지가 증가합니다.,발동 조건: HP가 50% 이하인 보스에게 데미지를 입힙니다. 조건을 충족하는 마지막 보스가 KO 되면 효과가 종료됩니다.,,user-provided-source
card,00019860_000000009BB969AF,,es,Epic Hunter,Aumenta el daño infligido a un jefe durante 4 segundos.,Aumenta el daño infligido a un jefe durante 4 segundos.,Activación: Daña a un jefe mientras tenga el 50% o menos de HP. El efecto termina cuando el último jefe que cumple la condición es noqueado.,,user-provided-source
card,00019860_000000009BB969AF,,vi,Epic Hunter,Tăng sát thương gây lên Boss trong 4 giây.,Tăng sát thương gây lên Boss trong 4 giây.,Điều kiện kích hoạt: Gây sát thương lên Boss khi Boss còn 50% HP hoặc thấp hơn. Hiệu ứng kết thúc khi Boss cuối cùng đáp ứng điều kiện bị hạ gục.,,translated-from-zh-CN
card,00019864_000000007CD14978,,ja,Wicked Warrior,同じ敵ヒーローにラッシュアタックを繰り返し当てた後、ラッシュアタックのダメージが増加します。,同じ敵ヒーローにラッシュアタックを繰り返し当てた後、ラッシュアタックのダメージが増加します。,発動条件：1人の敵ヒーローに連続して3回ラッシュアタックを命中させる。ラッシュアタックの終了から4秒後に効果が終了します。,,user-provided-source
card,00019864_000000007CD14978,,zh-CN,Wicked Warrior,在对同一个敌方英雄连续进行冲刺攻击后，提升冲刺攻击伤害。,在对同一个敌方英雄连续进行冲刺攻击后，提升冲刺攻击伤害。,激活条件：连续3次冲刺攻击命中同一个敌方英雄。在冲刺攻击结束后4秒效果结束。,,user-provided-source
card,00019864_000000007CD14978,,ko,Wicked Warrior,동일한 적 영웅에게 반복적으로 러시 공격을 가한 후 러시 공격 데미지가 증가합니다.,동일한 적 영웅에게 반복적으로 러시 공격을 가한 후 러시 공격 데미지가 증가합니다.,발동 조건: 단일 적 영웅에게 3연속 러시 공격을 적중시킵니다. 러시 공격이 끝난 후 4초 뒤에 효과가 종료됩니다.,,user-provided-source
card,00019864_000000007CD14978,,es,Wicked Warrior,Aumenta el daño del Ataque Rápido después de golpear repetidamente al mismo héroe enemigo con Ataques Rápidos.,Aumenta el daño del Ataque Rápido después de golpear repetidamente al mismo héroe enemigo con Ataques Rápidos.,Activación: Acierta 3 Ataques Rápidos seguidos sobre un solo héroe enemigo. El efecto termina 4 segundos después de que finalice la secuencia de Ataques Rápidos.,,user-provided-source
card,00019864_000000007CD14978,,vi,Wicked Warrior,"Sau khi liên tiếp dùng Rush Attack lên cùng một hero địch, tăng sát thương Rush Attack.","Sau khi liên tiếp dùng Rush Attack lên cùng một hero địch, tăng sát thương Rush Attack.",Điều kiện kích hoạt: Liên tiếp đánh trúng cùng một hero địch bằng 3 Rush Attack. Hiệu ứng kết thúc sau 4 giây kể từ khi chuỗi Rush Attack chấm dứt.,,translated-from-zh-CN
card,00019868_000000000BD679EE,,ja,Pursuer,影響を受けた敵ヒーローに向かって移動する間、追加のエネルギーダメージを与え、移動速度を上昇させます。,影響を受けた敵ヒーローに向かって移動する間、追加のエネルギーダメージを与え、移動速度を上昇させます。,発動条件：2秒以内に2つのスキルで1人の敵ヒーローに命中させる。移動速度上昇効果は7.5秒間持続し、7.5秒に1回発動可能。,,user-provided-source
card,00019868_000000000BD679EE,,zh-CN,Pursuer,对受影响的敌方英雄造成额外的能量伤害，并在朝向该目标移动时提升移动速度。,对受影响的敌方英雄造成额外的能量伤害，并在朝向该目标移动时提升移动速度。,激活条件：在2秒内用2个技能命中一个敌方英雄。移动加速效果持续7.5秒，每7.5秒可激活一次。,,user-provided-source
card,00019868_000000000BD679EE,,ko,Pursuer,영향을 받은 적 영웅을 향해 이동할 때 추가 에너지 데미지를 입히고 이동 속도가 증가합니다.,영향을 받은 적 영웅을 향해 이동할 때 추가 에너지 데미지를 입히고 이동 속도가 증가합니다.,발동 조건: 2초 이내에 2개의 스킬로 단일 적 영웅을 적중시킵니다. 이동 속도 증가 효과는 7.5초 동안 지속되며 7.5초마다 1회 활성화 가능합니다.,,user-provided-source
card,00019868_000000000BD679EE,,es,Pursuer,Inflige Daño de Energía adicional y aumenta la velocidad de movimiento al dirigirse hacia el héroe enemigo afectado.,Inflige Daño de Energía adicional y aumenta la velocidad de movimiento al dirigirse hacia el héroe enemigo afectado.,Activación: Golpea a un héroe enemigo con 2 habilidades en un lapso de 2 segundos. El efecto de movimiento dura 7.5 segundos y se puede activar una vez cada 7.5 segundos.,,user-provided-source
card,00019868_000000000BD679EE,,vi,Pursuer,Gây thêm sát thương năng lượng lên hero địch bị ảnh hưởng và tăng tốc độ di chuyển khi tiến về phía mục tiêu đó.,Gây thêm sát thương năng lượng lên hero địch bị ảnh hưởng và tăng tốc độ di chuyển khi tiến về phía mục tiêu đó.,"Điều kiện kích hoạt: Dùng 2 kỹ năng đánh trúng cùng một hero địch trong vòng 2 giây. Hiệu ứng tăng tốc độ di chuyển kéo dài 7,5 giây và có thể kích hoạt một lần mỗi 7,5 giây.",,translated-from-zh-CN
card,00019873_00000000B4BD18F3,,ja,Guardian Angel,近くの味方が敵ヒーローから受けるダメージの一部を肩代わりします。,近くの味方が敵ヒーローから受けるダメージの一部を肩代わりします。,発動条件：ガーディアンエンジェル（Guardian Angel）を持たない近くの味方が敵ヒーローからダメージを受ける。あなたに転送されるダメージは軽減され、近くに味方が多いほどさらに軽減されます。,,user-provided-source
card,00019873_00000000B4BD18F3,,zh-CN,Guardian Angel,代替附近的盟友承受部分来自敌方英雄的伤害。,代替附近的盟友承受部分来自敌方英雄的伤害。,激活条件：附近没有守护天使（Guardian Angel）效果的盟友受到敌方英雄的伤害。转移给你的伤害会减少，附近盟友越多减伤越多。,,user-provided-source
card,00019873_00000000B4BD18F3,,ko,Guardian Angel,근처 아군이 적 영웅에게 받을 데미지의 일부를 대신 받습니다.,근처 아군이 적 영웅에게 받을 데미지의 일부를 대신 받습니다.,"발동 조건: 수호천사(Guardian Angel) 효과가 없는 근처 아군이 적 영웅에게 데미지를 받습니다. 자신에게 전이되는 데미지는 감소하며, 근처에 아군이 많을수록 추가로 감소합니다.",,user-provided-source
card,00019873_00000000B4BD18F3,,es,Guardian Angel,Recibe parte del daño que un aliado cercano recibiría de un héroe enemigo.,Recibe parte del daño que un aliado cercano recibiría de un héroe enemigo.,"Activación: Un aliado cercano sin Ángel Guardián recibe daño de un héroe enemigo. El daño transferido a ti se reduce, con reducción adicional cuando hay más aliados cerca.",,user-provided-source
card,00019873_00000000B4BD18F3,,vi,Guardian Angel,Thay đồng minh ở gần chịu một phần sát thương từ hero địch.,Thay đồng minh ở gần chịu một phần sát thương từ hero địch.,"Điều kiện kích hoạt: Một đồng minh ở gần không có hiệu ứng Guardian Angel chịu sát thương từ hero địch. Sát thương chuyển sang bạn sẽ được giảm, và càng có nhiều đồng minh ở gần thì mức giảm càng lớn.",,translated-from-zh-CN
card,00019879_00000000C3BA2865,,ja,Defense Step,バニシングステップ使用後4秒間、敵ヒーローからのダメージを軽減します。この効果はスーパーアタックに対してはるかに強力であり、時間の経過とともに減少します。,バニシングステップ使用後4秒間、敵ヒーローからのダメージを軽減します。この効果はスーパーアタックに対してはるかに強力であり、時間の経過とともに減少します。,発動条件：バニシングステップ使用後。内部クールダウン：12秒。,,user-provided-source
card,00019879_00000000C3BA2865,,zh-CN,Defense Step,在使用消失步后的4秒内减少来自敌方英雄的伤害。该效果对抗超级攻击时更强，并随时间减弱。,在使用消失步后的4秒内减少来自敌方英雄的伤害。该效果对抗超级攻击时更强，并随时间减弱。,激活条件：使用消失步后。内置冷却时间：12秒。,,user-provided-source
